iso_639_3,cv_locale,source,category,hours,validated_hours_only,clips,speakers,license_tier,license,corpus_version,source_type,who_transcribed,transcript_exists
fry,fy-NL,common_voice_scripted,transcribed,215.36,70.49,159762,2105,A,CC0-1.0,26.0,website text,human volunteer,True
fry,fy-NL,common_voice_spontaneous,transcribed,0.0,0.0,3,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
fry,fy-NL,common_voice_spontaneous,untranscribed,0.01,,3,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
fub,fub,common_voice_scripted,transcribed,13.35,12.95,7924,19,A,CC0-1.0,26.0,website text,human volunteer,True
fue,fue,common_voice_scripted,transcribed,10.75,10.58,7265,10,A,CC0-1.0,26.0,website text,human volunteer,True
gej,gej,common_voice_scripted,transcribed,11.38,11.14,16773,20,A,CC0-1.0,26.0,website text,human volunteer,True
ggg,ggg,common_voice_scripted,transcribed,12.27,7.4,11080,24,A,CC0-1.0,26.0,website text,human volunteer,True
gid,gid,common_voice_scripted,transcribed,10.33,9.93,5314,16,A,CC0-1.0,26.0,website text,human volunteer,True
gig,gig,common_voice_scripted,transcribed,10.1,10.08,12159,20,A,CC0-1.0,26.0,website text,human volunteer,True
giz,giz,common_voice_scripted,transcribed,10.28,10.05,6648,32,A,CC0-1.0,26.0,website text,human volunteer,True
gjk,gjk,common_voice_scripted,transcribed,10.97,10.75,8724,23,A,CC0-1.0,26.0,website text,human volunteer,True
gju,gju,common_voice_scripted,transcribed,10.67,10.07,11741,7,A,CC0-1.0,26.0,website text,human volunteer,True
gle,ga-IE,common_voice_scripted,transcribed,16.38,14.26,15381,281,A,CC0-1.0,26.0,website text,human volunteer,True
gle,ga-IE,common_voice_spontaneous,transcribed,0.01,0.01,36,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
gle,ga-IE,common_voice_spontaneous,untranscribed,0.13999999999999999,,36,4,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
glg,gl,common_voice_scripted,transcribed,402.12,331.85,290150,6602,A,CC0-1.0,26.0,website text,human volunteer,True
glg,gl,common_voice_spontaneous,transcribed,3.12,3.12,2062,109,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
glg,gl,common_voice_spontaneous,untranscribed,1.8499999999999996,,2062,109,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
glv,gv,common_voice_scripted,transcribed,10.58,10.12,6590,9,A,CC0-1.0,26.0,website text,human volunteer,True
glv,gv,common_voice_spontaneous,transcribed,0.0,0.0,130,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
glv,gv,common_voice_spontaneous,untranscribed,0.76,,130,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
grn,gn,common_voice_scripted,transcribed,33.02,5.15,25864,314,A,CC0-1.0,26.0,website text,human volunteer,True
gsw,gsw,common_voice_scripted,transcribed,1.78,0.78,1124,43,A,CC0-1.0,26.0,website text,human volunteer,True
gsw,gsw,common_voice_spontaneous,transcribed,0.55,0.55,1254,79,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
gsw,gsw,common_voice_spontaneous,untranscribed,7.500000000000001,,1254,79,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
gwc,gwc,common_voice_scripted,transcribed,15.36,11.64,9788,22,A,CC0-1.0,26.0,website text,human volunteer,True
gwt,gwt,common_voice_scripted,transcribed,12.29,12.2,7738,5,A,CC0-1.0,26.0,website text,human volunteer,True
gya,gya,common_voice_scripted,transcribed,10.43,9.75,7394,31,A,CC0-1.0,26.0,website text,human volunteer,True
hac,hac,common_voice_spontaneous,transcribed,0.37,0.37,421,19,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
hac,hac,common_voice_spontaneous,untranscribed,10.82,,421,19,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
hat,ht,common_voice_scripted,transcribed,0.04,0.04,30,3,A,CC0-1.0,26.0,website text,human volunteer,True
hau,ha,common_voice_scripted,transcribed,12.63,4.24,10450,61,A,CC0-1.0,26.0,website text,human volunteer,True
haz,haz,common_voice_scripted,transcribed,10.53,10.52,8325,9,A,CC0-1.0,26.0,website text,human volunteer,True
hch,hch,common_voice_spontaneous,transcribed,10.12,10.12,1553,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
hch,hch,common_voice_spontaneous,untranscribed,0.02000000000000135,,1553,10,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
heb,he,common_voice_scripted,transcribed,6.98,5.27,5524,58,A,CC0-1.0,26.0,website text,human volunteer,True
hem,hem,common_voice_scripted,transcribed,10.73,9.95,6441,41,A,CC0-1.0,26.0,website text,human volunteer,True
hin,hi,common_voice_scripted,transcribed,26.67,15.6,19029,480,A,CC0-1.0,26.0,website text,human volunteer,True
hno,hno,common_voice_scripted,transcribed,10.47,10.15,9407,36,A,CC0-1.0,26.0,website text,human volunteer,True
hrv,hr,common_voice_scripted,transcribed,0.03,0.01,30,2,A,CC0-1.0,26.0,website text,human volunteer,True
hrv,hr,common_voice_spontaneous,transcribed,0.0,0.0,4,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
hrv,hr,common_voice_spontaneous,untranscribed,0.01,,4,1,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
hsb,hsb,common_voice_scripted,transcribed,12.86,3.59,5952,34,A,CC0-1.0,26.0,website text,human volunteer,True
hun,hu,common_voice_scripted,transcribed,180.95,137.4,117568,1679,A,CC0-1.0,26.0,website text,human volunteer,True
hux,hux,common_voice_scripted,transcribed,11.42,9.99,10608,13,A,CC0-1.0,26.0,website text,human volunteer,True
hye,hy-AM,common_voice_scripted,transcribed,62.02,38.87,41350,1041,A,CC0-1.0,26.0,website text,human volunteer,True
ibb,ibb,common_voice_scripted,transcribed,18.18,7.76,7274,19,A,CC0-1.0,26.0,website text,human volunteer,True
ibo,ig,common_voice_scripted,transcribed,18.92,2.8,12553,186,A,CC0-1.0,26.0,website text,human volunteer,True
ina,ia,common_voice_scripted,transcribed,17.24,14.27,14770,72,A,CC0-1.0,26.0,website text,human volunteer,True
ind,id,common_voice_scripted,transcribed,67.38,33.76,60804,671,A,CC0-1.0,26.0,website text,human volunteer,True
ipk,ipk,common_voice_scripted,transcribed,7.19,7.19,3264,2,A,CC0-1.0,26.0,website text,human volunteer,True
isl,is,common_voice_scripted,transcribed,0.73,0.19,414,8,A,CC0-1.0,26.0,website text,human volunteer,True
ita,it,common_voice_scripted,transcribed,429.1,363.69,283867,7342,A,CC0-1.0,26.0,website text,human volunteer,True
jav,jv,common_voice_spontaneous,transcribed,0.0,0.0,232,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
jav,jv,common_voice_spontaneous,untranscribed,1.39,,232,3,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
jgo,jgo,common_voice_scripted,transcribed,11.5,11.3,6189,16,A,CC0-1.0,26.0,website text,human volunteer,True
jpn,ja,common_voice_scripted,transcribed,725.69,372.29,584920,7834,A,CC0-1.0,26.0,website text,human volunteer,True
jqr,jqr,common_voice_scripted,transcribed,10.24,9.92,6254,12,A,CC0-1.0,26.0,website text,human volunteer,True
kab,kab,common_voice_scripted,transcribed,693.88,571.29,747410,1607,A,CC0-1.0,26.0,website text,human volunteer,True
kat,ka,common_voice_scripted,transcribed,493.76,262.02,334062,3146,A,CC0-1.0,26.0,website text,human volunteer,True
kat,ka,common_voice_spontaneous,transcribed,0.5,0.5,414,20,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
kat,ka,common_voice_spontaneous,untranscribed,0.9199999999999999,,414,20,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
kaz,kk,common_voice_scripted,transcribed,3.98,2.52,2888,204,A,CC0-1.0,26.0,website text,human volunteer,True
kbd,kbd,common_voice_scripted,transcribed,302.06,274.34,174133,380,A,CC0-1.0,26.0,website text,human volunteer,True
kbd,kbd,common_voice_spontaneous,transcribed,8.21,8.21,1296,44,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
kbd,kbd,common_voice_spontaneous,untranscribed,4.34,,1296,44,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
kcn,kcn,common_voice_spontaneous,transcribed,9.69,9.69,2715,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
kcn,kcn,common_voice_spontaneous,untranscribed,4.270000000000001,,2715,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
kdh,kdh,common_voice_scripted,transcribed,9.66,9.19,14207,20,A,CC0-1.0,26.0,website text,human volunteer,True
khm,km,common_voice_scripted,transcribed,0.93,0.19,704,10,A,CC0-1.0,26.0,website text,human volunteer,True
khw,khw,common_voice_scripted,transcribed,18.58,16.01,9867,51,A,CC0-1.0,26.0,website text,human volunteer,True
kin,rw,common_voice_scripted,transcribed,2384.22,2001.69,1714248,1185,A,CC0-1.0,26.0,website text,human volunteer,True
kir,ky,common_voice_scripted,transcribed,47.87,38.87,37851,299,A,CC0-1.0,26.0,website text,human volunteer,True
kjh,kjh,common_voice_scripted,transcribed,0.1,0.0,72,1,A,CC0-1.0,26.0,website text,human volunteer,True
kln,kln,common_voice_scripted,transcribed,88.12,40.65,70042,41,A,CC0-1.0,26.0,website text,human volunteer,True
kls,kls,common_voice_scripted,transcribed,10.2,10.04,9927,23,A,CC0-1.0,26.0,website text,human volunteer,True
kmr,kmr,common_voice_scripted,transcribed,106.83,75.82,92414,696,A,CC0-1.0,26.0,website text,human volunteer,True
koo,koo,common_voice_spontaneous,transcribed,10.13,10.13,3233,28,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
koo,koo,common_voice_spontaneous,untranscribed,4.76,,3233,28,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
kor,ko,common_voice_scripted,transcribed,10.38,2.54,7178,210,A,CC0-1.0,26.0,website text,human volunteer,True
ksf,ksf,common_voice_scripted,transcribed,18.25,17.2,7868,24,A,CC0-1.0,26.0,website text,human volunteer,True
kvx,kvx,common_voice_scripted,transcribed,11.17,11.03,7557,22,A,CC0-1.0,26.0,website text,human volunteer,True
kxp,kxp,common_voice_scripted,transcribed,11.11,11.0,11759,22,A,CC0-1.0,26.0,website text,human volunteer,True
kzi,kzi,common_voice_spontaneous,transcribed,0.22,0.22,1717,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
kzi,kzi,common_voice_spontaneous,untranscribed,9.29,,1717,21,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
laj,laj,common_voice_spontaneous,transcribed,0.0,0.0,34,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
laj,laj,common_voice_spontaneous,untranscribed,0.06,,34,2,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
lao,lo,common_voice_scripted,transcribed,0.4,0.35,223,16,A,CC0-1.0,26.0,website text,human volunteer,True
lav,lv,common_voice_scripted,transcribed,312.63,266.89,233550,6557,A,CC0-1.0,26.0,website text,human volunteer,True
lav,lv,common_voice_spontaneous,transcribed,0.08,0.08,62,9,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
lav,lv,common_voice_spontaneous,untranscribed,0.49999999999999994,,62,9,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
led,led,common_voice_spontaneous,transcribed,10.08,10.08,2851,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
led,led,common_voice_spontaneous,untranscribed,5.0600000000000005,,2851,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
lij,lij,common_voice_scripted,transcribed,5.67,5.03,5276,40,A,CC0-1.0,26.0,website text,human volunteer,True
lij,lij,common_voice_spontaneous,transcribed,1.65,1.65,294,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
lij,lij,common_voice_spontaneous,untranscribed,0.71,,294,5,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
lit,lt,common_voice_scripted,transcribed,35.99,30.44,25384,333,A,CC0-1.0,26.0,website text,human volunteer,True
lke,lke,common_voice_spontaneous,transcribed,9.95,9.95,2743,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,True
lke,lke,common_voice_spontaneous,untranscribed,2.4300000000000015,,2743,26,A,CC0-1.0,4.0,no source - spontaneous speech,human volunteer,False
lrk,lrk,common_voice_scripted,transcribed,11.37,11.07,11770,20,A,CC0-1.0,26.0,website text,human volunteer,True
lss,lss,common_voice_scripted,transcribed,10.05,9.93,10452,15,A,CC0-1.0,26.0,website text,human volunteer,True
