code,scripts_involved,subsets_used,num_docs_selected,candidate_pool_size,reached_pool_target,min_score_in_selection,max_score_in_selection,total_utf_8_bytes_sampled,total_tokens_sampled,total_words_sampled,bytes_per_token,tokens_per_byte,tokens_per_word_fertility,whitespace_delimited_script
som,Latn,som_Latn(thr=None),25,300,True,1.0000079870224,1.0000098943710327,47224,16722,7195,2.8240641071642147,0.3540996103676097,2.3241139680333567,True
sot,Latn,sot_Latn(thr=0.9),25,300,True,1.0000077486038208,1.0000097751617432,114253,38750,21437,2.9484645161290324,0.3391595844310434,1.8076223352148155,True
srp,Cyrl;Latn,srp_Cyrl(thr=None),25,300,True,1.0000098943710327,1.0000100135803223,60291,12747,5468,4.729818780889621,0.21142459073493555,2.331199707388442,True
ssw,Latn,ssw_Latn(thr=0.99),25,300,True,1.0000081062316895,1.0000097751617432,133902,49994,14604,2.6783614033684042,0.37336260847485475,3.4233086825527255,True
sun,Latn,sun_Latn(thr=None),25,300,True,1.0000094175338745,1.0000100135803223,105758,33987,15705,3.1117191867478744,0.32136575956428826,2.164087870105062,True
swe,Latn,swe_Latn(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,106287,27076,17348,3.9255059831585166,0.25474423024452664,1.5607562831450312,True
tam,Latn;Taml,tam_Taml(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,247267,42047,10254,5.88072870835018,0.17004695329340347,4.10054612834016,True
tat,Cyrl;Latn,tat_Cyrl(thr=0.75),25,300,True,1.0000038146972656,1.000008225440979,181025,46558,13891,3.888161003479531,0.25719099571882337,3.351666546684904,True
tel,Latn;Telu,tel_Telu(thr=None),25,300,True,1.0000094175338745,1.0000098943710327,167758,37966,8073,4.418637728493915,0.22631409530394975,4.702836615880094,True
tgk,Cyrl,tgk_Cyrl(thr=None),25,300,True,1.0000072717666626,1.0000096559524536,56536,14922,4813,3.7887682616271277,0.26393802179142495,3.100353210056098,True
tha,Thai,tha_Thai(thr=None),25,300,True,1.000006914138794,1.000009536743164,83724,10975,1216,7.628610478359909,0.1310854713104964,9.025493421052632,False
tir,Ethi,tir_Ethi(thr=0.99),25,300,True,1.0000077486038208,1.0000100135803223,186173,74429,15527,2.501350280132744,0.39978407180418213,4.793520963482965,True
ton,Latn,ton_Latn(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,192027,77024,34884,2.4930800789364356,0.40111026053627874,2.208003669303979,True
tsn,Latn,tsn_Latn(thr=0.9),25,300,True,0.999660849571228,0.9999164342880249,87724,30785,15999,2.849569595582264,0.3509301901418084,1.9241827614225888,True
tso,Latn,tso_Latn(thr=0.99),25,300,True,0.9999352693557739,1.0000053644180298,122954,45292,21273,2.714695752009185,0.368365404948192,2.129083815164763,True
tuk,Arab;Cyrl;Latn,tuk_Latn(thr=0.9),25,100,True,1.0000098943710327,1.0000100135803223,129090,46437,14170,2.7798953420763617,0.35972577271670925,3.277134791813691,True
uig,Arab;Cyrl;Latn,uig_Arab(thr=0.9),25,200,True,1.0000098943710327,1.0000100135803223,190946,68657,13304,2.7811585126061438,0.3595623893666272,5.160628382441371,True
ukr,Cyrl,ukr_Cyrl(thr=None),25,300,True,0.9999847412109375,1.0000059604644775,90153,17299,7759,5.211457309671079,0.1918849067696028,2.2295398891609746,True
urd,Arab;Latn,urd_Arab(thr=None),25,300,True,0.9904364943504333,0.9971245527267456,105147,24554,13304,4.282275800276941,0.23352069008150492,1.8456103427540589,True
ven,Latn,ven_Latn(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,110197,44245,19692,2.4906091083738278,0.40150820802744175,2.2468515133048954,True
vie,Latn,vie_Latn(thr=None),25,300,True,1.0000100135803223,1.0000100135803223,141016,29468,23945,4.785394326048595,0.20896919498496624,1.2306535811234078,True
vol,Latn,vol_Latn(thr=0.99),25,300,True,1.000003457069397,1.0000100135803223,133868,49629,21490,2.697374518930464,0.3707308692144501,2.3093997208003723,True
war,Latn,war_Latn(thr=0.99),25,300,True,1.0000020265579224,1.0000091791152954,48653,15594,8131,3.119982044376042,0.3205146650771792,1.9178452834829665,True
wol,Latn,wol_Latn(thr=0.99),25,300,True,1.0000100135803223,1.0000100135803223,157598,59906,30073,2.630754849263847,0.38011903704361727,1.9920194194127623,True
xho,Latn,xho_Latn(thr=None),25,300,True,0.9999841451644897,1.0000077486038208,94825,35164,11208,2.6966499829370947,0.3708304771948326,3.137401855817273,True
yor,Latn,yor_Latn(thr=0.95),25,100,True,1.0000100135803223,1.0000100135803223,166801,68176,25274,2.446623445200657,0.4087265663874917,2.697475666693044,True
zul,Latn,zul_Latn(thr=None),25,300,True,0.9951643943786621,0.9999192953109741,99266,36386,11312,2.728137195624691,0.3665504805270687,3.2165841584158414,True
